2024-07-22 11:16:52.824525 ; Session        ; Debug       ; Session log loaded as 'C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\SessionLogs\tap 2024-07-22 11-16-51.txt'. [5.99 ms]
2024-07-22 11:16:53.022687 ; PluginManager  ; Debug       ;     at OpenTap.PluginSearcher.AssemblyDependencyGraph.AddAssemblyInfo(String file, Assembly loadedAssembly)
2024-07-22 11:16:53.022687 ; PluginManager  ; Debug       ;     at OpenTap.PluginSearcher.AssemblyDependencyGraph.Generate(IEnumerable`1 files)
2024-07-22 11:16:53.022687 ; PluginManager  ; Debug       ;     at OpenTap.PluginSearcher.Search(IEnumerable`1 files)
2024-07-22 11:16:53.022687 ; PluginManager  ; Debug       ;     at OpenTap.PluginManager.SearchAndAddToStore(IEnumerable`1 _fileNames)
2024-07-22 11:16:53.024689 ; PluginManager  ; Debug       ; Exception caught at:
2024-07-22 11:16:53.027765 ; PluginManager  ; Debug       ;     at Void Search()
2024-07-22 11:16:53.027765 ; PluginManager  ; Debug       ;     at Void ContinueInitialization()
2024-07-22 11:16:53.027765 ; PluginManager  ; Debug       ;     at Void goInProcess()
2024-07-22 11:16:53.027765 ; PluginManager  ; Debug       ;     at System.Object InvokeMethod(System.Object, System.Object[], System.Signature, Boolean)
2024-07-22 11:16:53.027765 ; PluginManager  ; Debug       ;     ...
2024-07-22 11:16:53.027765 ; PluginManager  ; Debug       ; Searched 26 Assemblies. [116 ms]
2024-07-22 11:16:53.029765 ; PluginManager  ; Error       ; Caught exception while searching for plugins: 'Object reference not set to an instance of an object.'
2024-07-22 11:16:53.029765 ; PluginManager  ; Debug       ; Exception: Object reference not set to an instance of an object.
2024-07-22 11:16:53.029765 ; PluginManager  ; Debug       ;     at OpenTap.PluginManager.GetPlugins(PluginSearcher searcher, String baseTypeFullName)
2024-07-22 11:16:53.029765 ; PluginManager  ; Debug       ;     at OpenTap.PluginManager.SearchAndAddToStore(IEnumerable`1 _fileNames)
2024-07-22 11:16:53.029765 ; PluginManager  ; Debug       ;     at OpenTap.PluginManager.Search()
2024-07-22 11:16:53.029765 ; PluginManager  ; Debug       ; Exception caught at:
2024-07-22 11:16:53.029765 ; PluginManager  ; Debug       ;     at Void ContinueInitialization()
2024-07-22 11:16:53.029765 ; PluginManager  ; Debug       ;     at Void goInProcess()
2024-07-22 11:16:53.029765 ; PluginManager  ; Debug       ;     at System.Object InvokeMethod(System.Object, System.Object[], System.Signature, Boolean)
2024-07-22 11:16:53.029765 ; PluginManager  ; Debug       ;     at System.Object UnsafeInvokeInternal(System.Object, System.Object[], System.Object[])
2024-07-22 11:16:53.029765 ; PluginManager  ; Debug       ;     ...
2024-07-22 11:16:53.078005 ; AssemblyFinder ; Debug       ; Found 26/81 assembly files. [28.8 ms]
2024-07-22 11:16:53.082918 ; PluginManager  ; Error       ; Plugin search failed for: C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\BT2202A.dll, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\Editor.exe, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\OpenTap.dll, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\OpenTap.Package.dll, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\PackageManager.exe, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\ResultsViewer.exe, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\RunExplorer.exe, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\tap.exe, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\x64\SQLite.Interop.dll, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\x86\SQLite.Interop.dll, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\Packages\BT2202A\BT2202A.dll, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\Packages\CSV\Csv.dll, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\Packages\Editor CE\Keysight.OpenTap.CommunityEditionPopup.exe, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\Packages\Keysight Licensing\Keysight.OpenTap.Licensing.dll, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\Packages\OpenTAP\OpenTap.Cli.dll, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\Packages\OpenTAP\OpenTap.Plugins.BasicSteps.dll, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\Packages\OpenTAP\Tap.Upgrader.exe, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\Packages\OSIntegration\OpenTap.OSIntegration.Windows.dll, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\Packages\SDK\Keysight.OpenTap.Sdk.MSBuild.dll, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\Packages\SDK\OpenTap.Sdk.New.dll, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\Packages\SQLite and PostgreSQL\Keysight.OpenTap.Plugins.ResultListener.PostgreSQL.dll, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\Packages\SQLite and PostgreSQL\Keysight.OpenTap.Plugins.ResultListener.SqlDatabase.dll, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\Packages\SQLite and PostgreSQL\Keysight.OpenTap.Plugins.ResultListener.SQLite.dll, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\Packages\Visual Studio SDK CE\OpenTap.VSSdk.Debugger.dll, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\Packages\WPF Controls\Keysight.OpenTap.Wpf.dll, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\Packages\Visual Studio SDK CE\Install\OpenTap.VSSdk.Installer.dll
2024-07-22 11:16:53.082918 ; PluginManager  ; Debug       ; Exception: Could not load file or assembly 'System.Reflection.Metadata, Version=1.4.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a' or one of its dependencies. The system cannot find the file specified.
2024-07-22 11:16:53.082918 ; PluginManager  ; Debug       ;     at OpenTap.PluginSearcher.AssemblyDependencyGraph.AddAssemblyInfo(String file, Assembly loadedAssembly)
2024-07-22 11:16:53.082918 ; PluginManager  ; Debug       ;     at OpenTap.PluginSearcher.AssemblyDependencyGraph.Generate(IEnumerable`1 files)
2024-07-22 11:16:53.082918 ; PluginManager  ; Debug       ;     at OpenTap.PluginSearcher.Search(IEnumerable`1 files)
2024-07-22 11:16:53.082918 ; PluginManager  ; Debug       ;     at OpenTap.PluginManager.SearchAndAddToStore(IEnumerable`1 _fileNames)
2024-07-22 11:16:53.082918 ; PluginManager  ; Debug       ; Exception caught at:
2024-07-22 11:16:53.082918 ; PluginManager  ; Debug       ;     at Void Search()
2024-07-22 11:16:53.082918 ; PluginManager  ; Debug       ;     at OpenTap.PluginSearcher GetSearcher()
2024-07-22 11:16:53.082918 ; PluginManager  ; Debug       ;     at OpenTap.TypeData FromType(System.Type)
2024-07-22 11:16:53.082918 ; PluginManager  ; Debug       ;     at System.Collections.Generic.IEnumerable`1[OpenTap.ITypeData] GetDerivedTypes[BaseType]()
2024-07-22 11:16:53.082918 ; PluginManager  ; Debug       ;     ...
2024-07-22 11:16:53.082918 ; PluginManager  ; Debug       ; Searched 26 Assemblies. [5.02 ms]
2024-07-22 11:16:53.082918 ; PluginManager  ; Error       ; Caught exception while searching for plugins: 'Object reference not set to an instance of an object.'
2024-07-22 11:16:53.083917 ; PluginManager  ; Debug       ; Exception: Object reference not set to an instance of an object.
2024-07-22 11:16:53.083917 ; PluginManager  ; Debug       ;     at OpenTap.PluginManager.GetPlugins(PluginSearcher searcher, String baseTypeFullName)
2024-07-22 11:16:53.083917 ; PluginManager  ; Debug       ;     at OpenTap.PluginManager.SearchAndAddToStore(IEnumerable`1 _fileNames)
2024-07-22 11:16:53.083917 ; PluginManager  ; Debug       ;     at OpenTap.PluginManager.Search()
2024-07-22 11:16:53.083917 ; PluginManager  ; Debug       ; Exception caught at:
2024-07-22 11:16:53.083917 ; PluginManager  ; Debug       ;     at OpenTap.PluginSearcher GetSearcher()
2024-07-22 11:16:53.083917 ; PluginManager  ; Debug       ;     at OpenTap.TypeData FromType(System.Type)
2024-07-22 11:16:53.083917 ; PluginManager  ; Debug       ;     at System.Collections.Generic.IEnumerable`1[OpenTap.ITypeData] GetDerivedTypes[BaseType]()
2024-07-22 11:16:53.083917 ; PluginManager  ; Debug       ;     at Int32 Execute(System.String[])
2024-07-22 11:16:53.083917 ; PluginManager  ; Debug       ;     ...
2024-07-22 11:16:53.128214 ; AssemblyFinder ; Debug       ; Found 26/81 assembly files. [32.6 ms]
2024-07-22 11:16:53.132222 ; PluginManager  ; Error       ; Plugin search failed for: C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\BT2202A.dll, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\Editor.exe, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\OpenTap.dll, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\OpenTap.Package.dll, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\PackageManager.exe, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\ResultsViewer.exe, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\RunExplorer.exe, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\tap.exe, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\x64\SQLite.Interop.dll, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\x86\SQLite.Interop.dll, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\Packages\BT2202A\BT2202A.dll, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\Packages\CSV\Csv.dll, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\Packages\Editor CE\Keysight.OpenTap.CommunityEditionPopup.exe, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\Packages\Keysight Licensing\Keysight.OpenTap.Licensing.dll, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\Packages\OpenTAP\OpenTap.Cli.dll, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\Packages\OpenTAP\OpenTap.Plugins.BasicSteps.dll, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\Packages\OpenTAP\Tap.Upgrader.exe, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\Packages\OSIntegration\OpenTap.OSIntegration.Windows.dll, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\Packages\SDK\Keysight.OpenTap.Sdk.MSBuild.dll, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\Packages\SDK\OpenTap.Sdk.New.dll, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\Packages\SQLite and PostgreSQL\Keysight.OpenTap.Plugins.ResultListener.PostgreSQL.dll, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\Packages\SQLite and PostgreSQL\Keysight.OpenTap.Plugins.ResultListener.SqlDatabase.dll, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\Packages\SQLite and PostgreSQL\Keysight.OpenTap.Plugins.ResultListener.SQLite.dll, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\Packages\Visual Studio SDK CE\OpenTap.VSSdk.Debugger.dll, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\Packages\WPF Controls\Keysight.OpenTap.Wpf.dll, C:\Users\pabernal\OneDrive - Keysight Technologies\Share with customers\TEC Education Partner\BT2200A project\BT2202A\BT2202A\bin\Release\Packages\Visual Studio SDK CE\Install\OpenTap.VSSdk.Installer.dll
2024-07-22 11:16:53.132222 ; PluginManager  ; Debug       ; Exception: Could not load file or assembly 'System.Reflection.Metadata, Version=1.4.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a' or one of its dependencies. The system cannot find the file specified.
2024-07-22 11:16:53.132222 ; PluginManager  ; Debug       ;     at OpenTap.PluginSearcher.AssemblyDependencyGraph.AddAssemblyInfo(String file, Assembly loadedAssembly)
2024-07-22 11:16:53.132222 ; PluginManager  ; Debug       ;     at OpenTap.PluginSearcher.AssemblyDependencyGraph.Generate(IEnumerable`1 files)
2024-07-22 11:16:53.132222 ; PluginManager  ; Debug       ;     at OpenTap.PluginSearcher.Search(IEnumerable`1 files)
2024-07-22 11:16:53.132222 ; PluginManager  ; Debug       ;     at OpenTap.PluginManager.SearchAndAddToStore(IEnumerable`1 _fileNames)
2024-07-22 11:16:53.132222 ; PluginManager  ; Debug       ; Exception caught at:
2024-07-22 11:16:53.132222 ; PluginManager  ; Debug       ;     at Void Search()
2024-07-22 11:16:53.132222 ; PluginManager  ; Debug       ;     at OpenTap.PluginSearcher GetSearcher()
2024-07-22 11:16:53.132222 ; PluginManager  ; Debug       ;     at OpenTap.TypeData FromType(System.Type)
2024-07-22 11:16:53.132222 ; PluginManager  ; Debug       ;     at System.Collections.Generic.IEnumerable`1[OpenTap.ITypeData] GetDerivedTypes(OpenTap.ITypeData)
2024-07-22 11:16:53.132222 ; PluginManager  ; Debug       ;     ...
2024-07-22 11:16:53.132222 ; PluginManager  ; Debug       ; Searched 26 Assemblies. [4.57 ms]
2024-07-22 11:16:53.133137 ; PluginManager  ; Error       ; Caught exception while searching for plugins: 'Object reference not set to an instance of an object.'
2024-07-22 11:16:53.133137 ; PluginManager  ; Debug       ; Exception: Object reference not set to an instance of an object.
2024-07-22 11:16:53.133137 ; PluginManager  ; Debug       ;     at OpenTap.PluginManager.GetPlugins(PluginSearcher searcher, String baseTypeFullName)
2024-07-22 11:16:53.133137 ; PluginManager  ; Debug       ;     at OpenTap.PluginManager.SearchAndAddToStore(IEnumerable`1 _fileNames)
2024-07-22 11:16:53.133137 ; PluginManager  ; Debug       ;     at OpenTap.PluginManager.Search()
2024-07-22 11:16:53.133137 ; PluginManager  ; Debug       ; Exception caught at:
2024-07-22 11:16:53.133137 ; PluginManager  ; Debug       ;     at OpenTap.PluginSearcher GetSearcher()
2024-07-22 11:16:53.133137 ; PluginManager  ; Debug       ;     at OpenTap.TypeData FromType(System.Type)
2024-07-22 11:16:53.133137 ; PluginManager  ; Debug       ;     at System.Collections.Generic.IEnumerable`1[OpenTap.ITypeData] GetDerivedTypes(OpenTap.ITypeData)
2024-07-22 11:16:53.133137 ; PluginManager  ; Debug       ;     at Int32 Execute(System.String[])
2024-07-22 11:16:53.133137 ; PluginManager  ; Debug       ;     ...
