2024-06-07 15:19:46.869482 ; Settings       ; Debug       ; EngineSettings loaded from C:\Users\yuxia\source\repos\BT2202A\bin\Release\Settings\Engine.xml [176 ms]
2024-06-07 15:19:46.897115 ; Session        ; Debug       ; Session log loaded as 'C:\Users\yuxia\source\repos\BT2202A\bin\Release\SessionLogs\SessionLog 2024-06-07 15-19-46.txt'. [18.0 ms]
2024-06-07 15:19:46.911646 ; CLI            ; Debug       ; Executing CLI action: package \ create
2024-06-07 15:19:46.918647 ; VariableExpander ; Debug       ; Initialized variable expander:
2024-06-07 15:19:46.925646 ; Package        ; Debug       ; Package preprocessing completed. [9.48 ms]
2024-06-07 15:19:46.928791 ; Resolver       ; Debug       ; Found match for DotNet.Glob, Version=3.0.1.0, Culture=neutral, PublicKeyToken=b68cc888b4f632d1 in C:\Users\yuxia\source\repos\BT2202A\bin\Release\Dependencies\DotNet.Glob.3.0.1.0\DotNet.Glob.dll
2024-06-07 15:19:46.950790 ; Searcher       ; Debug       ; Ordered 76 assemblies according to references. [9.75 ms]
2024-06-07 15:19:47.053339 ; Package        ; Information ; Satisfying assembly reference to OpenTap by adding dependency on package OpenTAP
2024-06-07 15:19:47.053339 ; Package        ; Information ; Satisfying assembly reference to netstandard by adding dependency on package OpenTAP
2024-06-07 15:19:47.053339 ; Package        ; Information ; Adding dependency on package 'OpenTAP' version 9.17.4+ea67c63a
2024-06-07 15:19:47.057390 ; Package        ; Debug       ; Using temporary folder at 'C:\Users\yuxia\AppData\Local\Temp\nsokf2nj.kdz'
2024-06-07 15:19:47.059407 ; Package        ; Debug       ; Updating version info for 'BT2202A.dll' [826 us]
2024-06-07 15:19:47.061647 ; Resolver       ; Debug       ; Found match for Mono.Cecil, Version=0.10.1.0, Culture=neutral, PublicKeyToken=50cebf1cceb9d05e in C:\Users\yuxia\source\repos\BT2202A\bin\Release\Dependencies\Mono.Cecil.0.10.1.0\Mono.Cecil.dll
2024-06-07 15:19:47.455731 ; Package        ; Information ; Updated assembly version info using Mono method. [396 ms]
2024-06-07 15:19:47.458065 ; Package        ; Debug       ; Available custom actions for 'create' stage. (2 actions: OpenTap.Package.IncludePackageDependencies, OpenTap.Package.FileHashPackageAction)
2024-06-07 15:19:47.460062 ; Package        ; Information ; Package action IncludePackageDependencies completed [1.84 ms]
2024-06-07 15:19:47.548502 ; Package        ; Information ; Package action FileHashPackageAction completed [88.5 ms]
2024-06-07 15:19:47.548502 ; Package        ; Information ; Creating OpenTAP package.
2024-06-07 15:19:47.552501 ; Package        ; Debug       ; Compressed 'C:\Users\yuxia\AppData\Local\Temp\nsokf2nj.kdz\Versioned\BT2202A.dll' [1.98 ms]
2024-06-07 15:19:47.589148 ; PackageAction  ; Information ; OpenTAP plugin package 'BT2202A.0.1.0-alpha.TapPackage' containing 'BT2202A' successfully created.
2024-06-07 15:19:47.591148 ; PackageAction  ; Information ; Installed 'BT2202A' (C:\Users\yuxia\source\repos\BT2202A\bin\Release\Packages\BT2202A\package.xml)
2024-06-07 15:19:47.591148 ; CLI            ; Debug       ; CLI action returned exit code: 0 [679 ms]
