2024-10-23 12:16:14.573657 ; Session        ; Debug       ; Session log loaded as '/Users/ricky/Documents/GitHub/BT2202A_Plugin/BT2202A/bin/Debug/SessionLogs/MSBuild.3373 2024-10-23 12-16-14.txt'. [45.1 ms]
2024-10-23 12:16:19.455972 ; GraphQL        ; Debug       ; {"type":"TapPackage","directory":"/Packages/","name":"OSIntegration","version":"alpha","architecture":"x64","os":"MacOS"} -> found 0 packages. [1.39 s]
2024-10-23 12:16:20.451815 ; GraphQL        ; Debug       ; {"type":"TapPackage","directory":"/Packages/","name":"OpenTAP","version":"alpha","architecture":"x64","os":"MacOS"} -> found 19 packages. [995 ms]
2024-10-23 12:16:21.337914 ; GraphQL        ; Debug       ; {"type":"TapPackage","directory":"/Packages/","name":"Keysight Licensing","version":"alpha","architecture":"x64","os":"MacOS"} -> found 19 packages. [885 ms]
2024-10-23 12:16:22.230285 ; GraphQL        ; Debug       ; {"type":"TapPackage","directory":"/Packages/","name":"WPF Controls","version":"alpha","architecture":"x64","os":"MacOS"} -> found 0 packages. [892 ms]
2024-10-23 12:16:23.119378 ; GraphQL        ; Debug       ; {"type":"TapPackage","directory":"/Packages/","name":"CSV","version":"alpha","architecture":"x64","os":"MacOS"} -> found 0 packages. [888 ms]
2024-10-23 12:16:24.060594 ; GraphQL        ; Debug       ; {"type":"TapPackage","directory":"/Packages/","name":"Editor CE","version":"alpha","architecture":"x64","os":"MacOS"} -> found 0 packages. [941 ms]
2024-10-23 12:16:24.956793 ; GraphQL        ; Debug       ; {"type":"TapPackage","directory":"/Packages/","name":"Results Viewer CE","version":"alpha","architecture":"x64","os":"MacOS"} -> found 0 packages. [896 ms]
2024-10-23 12:16:25.825633 ; GraphQL        ; Debug       ; {"type":"TapPackage","directory":"/Packages/","name":"SQLite and PostgreSQL","version":"alpha","architecture":"x64","os":"MacOS"} -> found 0 packages. [868 ms]
2024-10-23 12:16:27.443613 ; GraphQL        ; Debug       ; {"type":"TapPackage","directory":"/Packages/","name":"SDK","version":"alpha","architecture":"x64","os":"MacOS"} -> found 14 packages. [1.61 s]
2024-10-23 12:16:28.315789 ; GraphQL        ; Debug       ; {"type":"TapPackage","directory":"/Packages/","name":"Visual Studio SDK CE","version":"alpha","architecture":"x64","os":"MacOS"} -> found 0 packages. [871 ms]
2024-10-23 12:16:28.327568 ; image          ; Debug       ; Resolved image: TUI:1, OpenTAP:9.23.2+5a906a86, Editor CE:^9.17.4+5e508f08, SQLite and PostgreSQL:^9.4.2+3009aace, Results Viewer CE:^9.17.4+5e508f08, OSIntegration:^1.4.2+15f32a31, WPF Controls:^9.17.4+5e508f08, Developer's System CE:^9.17.4+5e508f08, SDK:^9.17.4+ea67c63a, CSV:^9.11.0+98498e58, Visual Studio SDK CE:^1.2.6+ef0ad804, Keysight Licensing:^1.1.1+7a2a1fe3 [10.2 s]
2024-10-23 12:16:31.039381 ; OpenTAP        ; Information ; Target installation is already up to date.
